醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
2317060014,臺中市西屯區衛生所,臺中市西屯區西安里西屯路二段２９９號,(04)27027068,1336,1790,2020/03/04 10:32:11
2317070010,臺中市南屯區衛生所,臺中市南屯區向心南路８１１號１樓,(04)23827640,646,1398,2020/03/04 10:32:11
2317080016,台中市北屯區軍功衛生所,臺中市北屯區軍功路二段１６號,(04)22393932,1566,1812,2020/03/04 10:32:11
2317081022,台中市北屯區四民衛生所,臺中市北屯區后庄路１０６２號,(04)24211945,880,1834,2020/03/04 10:32:11
2321010013,臺南市東區衛生所,臺南市東區龍山里林森路１段４１８號,(06)2673613,1086,1336,2020/03/04 10:32:11
2321020019,臺南市南區衛生所,臺南市南區南都里南和路６號,(06)2618578,1028,1758,2020/03/04 10:32:11
2321030015,臺南市中西區衛生所,臺南市中西區安海里環河街９４號,(06)2252403,1751,1444,2020/03/04 10:32:11
2321040011,臺南巿北區衛生所,臺南市北區公園里西華街５０號,(06)2252404,1910,1565,2020/03/04 10:32:11
2321060013,台南市安南區衛生所,臺南市安南區仁安路７０號２樓,(06)2567406,1169,1652,2020/03/04 10:32:11
2321070019,台南市安平區衛生所,臺南市安平區平通里育平路３１０號,(06)2996885,1225,1656,2020/03/04 10:32:11
2322010017,嘉義市東區衛生所,嘉義市東區大雅路二段６２５號,(05)2750423,1705,1552,2020/03/04 10:32:11
2322020013,嘉義市西區衛生所,嘉義市西區福全里德明路１號,(05)2337355,1672,1736,2020/03/04 10:32:11
2331070012,新北市樹林區衛生所,新北市樹林區樹新路４０－７號１、２樓,(02)26812134,114,1401,2020/03/04 10:32:11
2331080018,新北市鶯歌區衛生所,新北市鶯歌區文化路３８９號,(02)26702304,119,1446,2020/03/04 10:32:11
2331090014,新北市三峽區衛生所,新北市三峽區光明路７１號３樓,(02)26711592,290,1816,2020/03/04 10:32:11
2331100015,新北市淡水區衛生所,新北市淡水區中山路１５８號,(02)26215620,90,1613,2020/03/04 10:32:11
2331120017,新北巿瑞芳區衛生所,新北市瑞芳區明燈路３段１號,(02)24972132,90,1588,2020/03/04 10:32:11
2331150015,新北市五股區衛生所,新北市五股區新城三路１１號１樓、２樓及３樓,(02)22917717,166,102,2020/03/04 10:32:11
2331160011,新北市泰山區衛生所,新北市泰山區全興路２１２號３樓,(02)22962858,14,892,2020/03/04 10:32:11
2331170017,新北市林口區衛生所,新北市林口區忠孝二路５５號,(02)26068760,436,1276,2020/03/04 10:32:11
2331180013,新北市深坑區衛生所,新北市深坑區深坑街１６５號１－３樓,(02)26621567,152,1822,2020/03/04 10:32:11
2331190019,新北市石碇區衛生所,新北市石碇區潭邊里碇坪路１段８２號,(02)26631325,134,1776,2020/03/04 10:32:11
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,(02)26656272,29,761,2020/03/04 10:32:11
2331210016,新北市三芝區衛生所,新北市三芝區中山路１段１２號,(02)26362007,0,1129,2020/03/04 10:32:11
2331220012,新北市石門區衛生所,新北市石門區中山路２８－１號,(02)26381007,320,1954,2020/03/04 10:32:11
2331230018,新北市八里區衛生所,新北市八里區舊城路１６號,(02)26102137,0,1340,2020/03/04 10:32:11
2331240014,新北市平溪區衛生所,新北市平溪區公園街１７號１樓,(02)24951015,790,2468,2020/03/04 10:32:11
2331250010,新北市雙溪區衛生所,新北市雙溪區新基南路１８號,(02)24931211,1326,2064,2020/03/04 10:32:11
2331260016,新北市貢寮區衛生所,新北市貢寮區朝陽街７０巷１０號、新北市貢寮區仁愛路１２８號,(02)24901431,272,1924,2020/03/04 10:32:11
2331270012,新北市金山區衛生所,新北市金山區民生路５９號,(02)24982778,212,1878,2020/03/04 10:32:11
2331280018,新北市萬里區衛生所,新北市萬里區瑪鍊路１５７號１－３樓及地下１樓,(02)24921117,228,1833,2020/03/04 10:32:11
2331290014,新北市烏來區衛生所,新北市烏來區新烏路５段１０９號,(02)26617200,44,1536,2020/03/04 10:32:11
2332030012,桃園市大溪區衛生所,桃園市大溪區仁愛路１號,(03)3882401,95,1212,2020/03/04 10:32:11
2332040018,桃園市楊梅區衛生所,桃園市楊梅區校前路４０９號,(03)4750151,334,1284,2020/03/04 10:32:11
2332060010,桃園市大園區衛生所,桃園市大園區田心里中正西路１９號,(03)3862024,826,1848,2020/03/04 10:32:11
2332080012,桃園市八德區衛生所,桃園市八德區大華里介壽路二段３６１巷２８號,(03)3662781,7,1145,2020/03/04 10:32:11
2332090018,桃園市龍潭區衛生所,桃園市龍潭區中正路２１０號１至２樓,(03)4792033,232,1424,2020/03/04 10:32:11
2332100019,桃園市平鎮區衛生所,桃園市平鎮區新富里１鄰振興路１號,(03)4576624,162,1372,2020/03/04 10:32:11
2332110015,桃園市新屋區衛生所,桃園市新屋區新屋里中山路２３９號,(03)4772018,0,1021,2020/03/04 10:32:11
2332120011,桃園市觀音區衛生所,桃園市觀音區觀新路５８號,(03)4732031,910,1690,2020/03/04 10:32:11
2332130017,桃園市復興區衛生所,桃園市復興區澤仁里中正路２５號,(03)3822325,1658,1364,2020/03/04 10:32:11
2333010014,新竹縣關西鎮衛生所,新竹縣關西鎮中山路２０７號,(03)5872454,1820,956,2020/03/04 10:32:11
2333020010,新竹縣新埔鎮衛生所,新竹縣新埔鎮新民里中正路７５８號,(03)5882017,774,1072,2020/03/04 10:32:11
2333030016,新竹縣竹東鎮衛生所,新竹縣竹東鎮中正路２２１號,(03)5943566,968,952,2020/03/04 10:32:11
2333050018,新竹縣竹北市衛生所,新竹縣竹北市光明二街８９號,(03)5533381,922,972,2020/03/04 10:32:11
2333060014,新竹縣湖口鄉衛生所,新竹縣湖口鄉中勢村中興街３６號,(03)5992654,120,576,2020/03/04 10:32:11
2333070010,新竹縣橫山鄉衛生所,新竹縣橫山鄉大肚村３鄰新興街１４１巷１０號,(03)5932004,74,996,2020/03/04 10:32:11
2333080016,新竹縣新豐鄉衛生所,新竹縣新豐鄉重興村萃豐路２１號,(03)5591150,510,816,2020/03/04 10:32:11
2333090012,新竹縣芎林鄉衛生所,新竹縣芎林鄉文山路５３２號,(03)5924787,442,908,2020/03/04 10:32:11
2333100013,新竹縣寶山鄉衛生所,新竹縣寶山鄉雙溪村７鄰雙園路二段２７３號,(03)5292106,1,690,2020/03/04 10:32:11
2333110019,新竹縣北埔鄉衛生所,新竹縣北埔鄉北埔街９０號,(03)5801677,102,1842,2020/03/04 10:32:11
