醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
2335020018,苗栗縣苑裡鎮衛生所,苗栗縣苑裡鎮客庄里公民街１６號,(037)869595,6,1456,2020/03/04 10:32:11
2335030014,苗栗縣通霄鎮衛生所,苗栗縣通霄鎮通東里中正路９－６號,(037)752048,1,453,2020/03/04 10:32:11
2335040010,苗栗縣竹南鎮衛生所,苗栗縣竹南鎮大營路２０９號,(037)470152,142,998,2020/03/04 10:32:11
2335050016,苗栗縣頭份市衛生所,苗栗縣頭份市顯會路７２號,(037)663049,2,112,2020/03/04 10:32:11
2335060012,苗栗縣後龍鎮衛生所,苗栗縣後龍鎮大庄里21鄰光華路３７１號,(037)722008,230,1652,2020/03/04 10:32:11
2335070018,苗栗縣卓蘭鎮衛生所,苗栗縣卓蘭鎮老庄里中正路１４２號,(04)25892027,1024,1592,2020/03/04 10:32:11
2335080014,苗栗縣大湖鄉衛生所,苗栗縣大湖鄉明湖村中原路８７號,(037)991034,362,1308,2020/03/04 10:32:11
2335090010,苗栗縣公館鄉衛生所,苗栗縣公館鄉館中村大同路７５號,(037)224732,0,968,2020/03/04 10:32:11
2335100011,苗栗縣銅鑼鄉衛生所,苗栗縣銅鑼鄉銅鑼村新興路８１號,(037)981006,138,1116,2020/03/04 10:32:11
2335110017,苗栗縣南庄鄉衛生所,苗栗縣南庄鄉東村大同路１７號,(037)822024,74,1250,2020/03/04 10:32:11
2335120013,苗栗縣頭屋鄉衛生所,苗栗縣頭屋鄉頭屋村中山街５６巷５４號,(037)253534,620,1526,2020/03/04 10:32:11
2335130019,苗栗縣三義鄉衛生所,苗栗縣三義鄉復興路45號,(037)872014,118,1643,2020/03/04 10:32:11
2335140015,苗栗縣西湖鄉衛生所,苗栗縣西湖鄉龍洞村１鄰１６號,(037)921211,752,1632,2020/03/04 10:32:11
2335150011,苗栗縣造橋鄉衛生所,苗栗縣造橋鄉造橋村１４鄰８－２號,(037)542755,0,643,2020/03/04 10:32:11
2335160017,苗栗縣三灣鄉衛生所,苗栗縣三灣鄉三灣村親民路１７號,(037)831140,26,1407,2020/03/04 10:32:11
2335170013,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村１３０之６號,(037)931309,608,1610,2020/03/04 10:32:11
2335180019,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村２鄰７２號,(037)941054,1220,1484,2020/03/04 10:32:11
2336010016,臺中市豐原區衛生所,臺中市豐原區西勢里中興路１３６號,(04)25261170,237,1547,2020/03/04 10:32:11
2336020012,臺中市東勢區衛生所,臺中市東勢區中寧里豐勢路４９０號,(04)25873872,1700,2082,2020/03/04 10:32:11
2336030018,臺中市大甲區衛生所,臺中市大甲區德興路８１號,(04)26872153,164,1320,2020/03/04 10:32:11
2336040014,臺中市清水區衛生所,臺中市清水區中山路９２號,(04)26222639,0,1136,2020/03/04 10:32:11
2336050010,臺中市沙鹿區衛生所,臺中市沙鹿區洛泉里文昌路２０號,(04)26625040,332,1170,2020/03/04 10:32:11
2336060016,臺中市梧棲區衛生所,臺中市梧棲區雲集街７０巷３號,(04)26562809,46,464,2020/03/04 10:32:11
2336070012,臺中市后里區衛生所,臺中市后里區墩西里公安路８６號,(04)25562048,214,1349,2020/03/04 10:32:11
2336080018,臺中市神岡區衛生所,臺中市神岡區神岡里神岡路２號,(04)25622792,90,701,2020/03/04 10:32:11
2336090014,臺中市潭子區衛生所,臺中市潭子區中山路２段２４１巷５號,(04)25324643,337,1640,2020/03/04 10:32:11
2336100015,臺中市大雅區衛生所,臺中市大雅區中清東路２３２號,(04)25661091,130,1168,2020/03/04 10:32:11
2336110011,臺中市新社區衛生所,臺中市新社區新社里興社街４段１號,(04)25811704,936,1622,2020/03/04 10:32:11
2336120017,臺中市石岡區衛生所,臺中市石岡區石岡街６號,(04)25721887,564,1542,2020/03/04 10:32:11
2336130013,臺中市外埔區衛生所,臺中市外埔區甲后路三段１０６２號,(04)26833208,591,1916,2020/03/04 10:32:11
2336140019,臺中市大安區衛生所,臺中市大安區中山南路３３３號,(04)26713681,544,1612,2020/03/04 10:32:11
2336150015,臺中市烏日區衛生所,臺中市烏日區烏日里長樂街１３６號,(04)23381027,630,1760,2020/03/04 10:32:11
2336160011,臺中市大肚區衛生所,臺中市大肚區頂街里榮華街１號,(04)26996311,108,1294,2020/03/04 10:32:11
2336170017,臺中市龍井區衛生所,臺中市龍井區竹坑里沙田路４段２４３號,(04)26352228,116,1132,2020/03/04 10:32:11
2336180013,台中市霧峰區衛生所,臺中市霧峰區本堂里民生路１－９號,(04)23393022,224,1660,2020/03/04 10:32:11
2336190019,臺中市太平區衛生所,臺中市太平區中山路１段２１３之１號,(04)23938083,804,1710,2020/03/04 10:32:11
2336200010,臺中市大里區衛生所,臺中市大里區大衛路８２號,(04)24061500,675,1778,2020/03/04 10:32:11
2336210025,臺中市和平區衛生所,臺中市和平區南勢里東關路３段１３２號,(04)25942781,1566,1244,2020/03/04 10:32:11
2336210034,臺中市和平區梨山衛生所,臺中市和平區梨山里中正路６８號,(04)25989540,782,1199,2020/03/04 10:32:11
2337010010,彰化縣彰化市南西北區衛生所,彰化縣彰化市華北里旭光路１６６號,(04)7282141,1064,1519,2020/03/04 10:32:11
2337010029,彰化縣彰化市東區衛生所,彰化縣彰化市香山里彰南路２段３４６巷３１弄２６號,(04)7381647,1272,1673,2020/03/04 10:32:11
2337020016,彰化縣鹿港鎮衛生所,彰化縣鹿港鎮順興里復興路４２３號,(04)7772309,510,1112,2020/03/04 10:32:11
2337030012,彰化縣和美鎮衛生所,彰化縣和美鎮和東里彰美路５段３１９號,(04)7552744,104,554,2020/03/04 10:32:11
2337040018,彰化縣北斗鎮衛生所,彰化縣北斗鎮光復里地政路４０６巷１７號,(04)8882059,1486,1420,2020/03/04 10:32:11
2337050014,彰化縣員林市衛生所,彰化縣員林市仁美里博愛路２２９號,(04)7060230,746,1476,2020/03/04 10:32:11
2337060010,彰化縣溪湖鎮衛生所,彰化縣溪湖鎮湖東里青雅路３６號,(04)8815112,1616,1488,2020/03/04 10:32:11
2337070016,彰化縣田中鎮衛生所,彰化縣田中鎮西路里斗中路一段２２２號,(04)8742053,2083,1438,2020/03/04 10:32:11
2337080012,彰化縣二林鎮衛生所,彰化縣二林鎮豐田里斗苑路四段６８９號,(04)8960035,1125,1093,2020/03/04 10:32:11
2337090018,彰化縣線西鄉衛生所,彰化縣線西鄉寓埔村和線路９５７巷２號,(04)7585201,342,1188,2020/03/04 10:32:11
2337100019,彰化縣伸港鄉衛生所,彰化縣伸港鄉大同村中興路２段１９７號,(04)7982034,270,1356,2020/03/04 10:32:11
2337110015,彰化縣福興鄉衛生所,彰化縣福興鄉福興村福興路５１巷２號,(04)7772371,638,1346,2020/03/04 10:32:11
2337120020,彰化縣秀水鄉衛生所,彰化縣秀水鄉安東村中山路２８８號,(04)7693001,316,1602,2020/03/04 10:32:11
2337130017,彰化縣花壇鄉衛生所,彰化縣花壇鄉長沙村中正路１１號,(04)7862035,446,1590,2020/03/04 10:32:11
2337140013,彰化縣芬園鄉衛生所,彰化縣芬園鄉社口村公園１街１１號,(049)2522904,1450,1706,2020/03/04 10:32:11
2337150019,彰化縣大村鄉衛生所,彰化縣大村鄉大村村中正西路３４０號,(04)8520513,386,1442,2020/03/04 10:32:11
2337160015,彰化縣埔鹽鄉衛生所,彰化縣埔鹽鄉好修村員鹿路二段５８號,(04)8653596,1184,1463,2020/03/04 10:32:11
2337170011,彰化縣埔心鄉衛生所,彰化縣埔心鄉義民村員鹿路２段３４０號,(04)8294611,414,1232,2020/03/04 10:32:11
2337180017,彰化縣永靖鄉衛生所,彰化縣永靖鄉永西村西興路９１號,(04)8221057,516,1524,2020/03/04 10:32:11
2337190013,彰化縣社頭鄉衛生所,彰化縣社頭鄉社頭村員集路二段４０９號,(04)8732038,860,1486,2020/03/04 10:32:11
2337200014,彰化縣二水鄉衛生所,彰化縣二水鄉二水村過圳路１９號,(04)8791077,3992,2460,2020/03/04 10:32:11
2337210010,彰化縣田尾鄉衛生所,彰化縣田尾鄉饒平村光復路２段６０８號,(04)8832145,1085,1483,2020/03/04 10:32:11
2337220016,彰化縣埤頭鄉衛生所,彰化縣埤頭鄉合興村健安街１１９號,(04)8922445,1030,1536,2020/03/04 10:32:11
2337230012,彰化縣芳苑鄉衛生所,彰化縣芳苑鄉芳苑村斗苑路芳苑段１９４巷４８號,(04)8983134,2450,1566,2020/03/04 10:32:11
2337240018,彰化縣大城鄉衛生所,彰化縣大城鄉大城村中平路１２６號,(04)8941323,1298,1672,2020/03/04 10:32:11
2337250014,彰化縣竹塘鄉衛生所,彰化縣竹塘鄉竹塘村竹林路１段３０４號,(04)8972009,2240,1568,2020/03/04 10:32:11
2337260010,彰化縣溪州鄉衛生所,彰化縣溪州鄉尾厝村溪下路５７０號,(04)8895023,1398,1768,2020/03/04 10:32:11
2338010014,南投縣南投市衛生所,南投縣南投市三和里三和一路１３號,(049)2223264,276,1105,2020/03/04 10:32:11
2338020010,南投縣埔里鎮衛生所,南投縣埔里鎮中山路二段２５６號,(049)2982157,1484,1546,2020/03/04 10:32:11
2338030016,南投縣草屯鎮衛生所,南投縣草屯鎮草溪路８８２巷７號,(049)2362023,134,1273,2020/03/04 10:32:11
2338040012,南投縣竹山鎮衛生所,南投縣竹山鎮公所路１２６號,(049)2642026,3084,1722,2020/03/04 10:32:11
2338050018,南投縣集集鎮衛生所,南投縣集集鎮民生路１０６號,(049)2762015,984,1856,2020/03/04 10:32:11
2338060014,南投縣名間鄉衛生所,南投縣名間鄉中正村彰南路４２號,(049)2732135,765,1704,2020/03/04 10:32:11
2338070010,南投縣鹿谷鄉衛生所,南投縣鹿谷鄉中正路二段２０號,(049)2752002,78,1304,2020/03/04 10:32:11
2338080016,南投縣中寮鄉衛生所,南投縣中寮鄉永平村永昌街１０２號,(049)2691404,4,1180,2020/03/04 10:32:11
2338090012,南投縣魚池鄉衛生所,南投縣魚池鄉東池村魚池街１９４號,(049)2895513,1199,1780,2020/03/04 10:32:11
2338100013,南投縣國姓鄉衛生所,南投縣國姓鄉國姓村民族街４２號,(049)2721009,1244,1286,2020/03/04 10:32:11
2338110019,南投縣水里鄉衛生所,南投縣水里鄉博愛路２０５號,(049)2770079,1652,1556,2020/03/04 10:32:11
2338120015,南投縣信義鄉衛生所,南投縣信義鄉明德村玉山路４５號,(049)2791148,906,1201,2020/03/04 10:32:11
2338130011,南投縣仁愛鄉衛生所,南投縣仁愛鄉大同村五福巷１７號,(049)2802341,3352,1432,2020/03/04 10:32:11
2339040016,雲林縣西螺鎮衛生所,雲林縣西螺鎮福興里修文路１１０號,(05)5862130,2503,1536,2020/03/04 10:32:11
2339050012,雲林縣土庫鎮衛生所,雲林縣土庫鎮忠正里中山路２５４號,(05)6622638,2709,1478,2020/03/04 10:32:11
2339060018,北港鎮衛生所,雲林縣北港鎮北辰路３號,(05)7832103,1687,1168,2020/03/04 10:32:11
2339070014,雲林縣古坑鄉衛生所,雲林縣古坑鄉西平村中山路３９１號,(05)5821132,2842,1638,2020/03/04 10:32:11
2339100017,雲林縣林內鄉衛生所,雲林縣林內鄉新興路５４號,(05)5892273,1028,1362,2020/03/04 10:32:11
2339110013,雲林縣二崙鄉衛生所,雲林縣二崙鄉崙西村中興路９、１１號,(05)5982004,2066,1201,2020/03/04 10:32:11
2339120019,雲林縣崙背鄉衛生所,雲林縣崙背鄉南陽村南光路３４號,(05)6962009,2330,1628,2020/03/04 10:32:11
2339130015,雲林縣麥寮鄉衛生所,雲林縣麥寮鄉麥豐村光復路４號,(05)6932268,2014,1428,2020/03/04 10:32:11
2339180015,雲林縣四湖鄉衛生所,雲林縣四湖鄉施湖村中山西路１１８號,(05)7872890,2246,1592,2020/03/04 10:32:11
2339200012,雲林縣水林鄉衛生所,雲林縣水林鄉水北村水林路８號,(05)7852612,3108,1660,2020/03/04 10:32:11
2340010015,嘉義縣朴子市衛生所,嘉義縣朴子市安福里光復路４０號,(05)3792037,1092,1394,2020/03/04 10:32:11
2340020011,嘉義縣布袋鎮衛生所,嘉義縣布袋鎮新厝里２１號,(05)3472032,1353,1782,2020/03/04 10:32:11
2340030017,嘉義縣大林鎮衛生所,嘉義縣大林鎮平林里中山路２５２號,(05)2652042,2092,2146,2020/03/04 10:32:11
2340040013,嘉義縣民雄鄉衛生所,嘉義縣民雄鄉中樂村文化路７之２號,(05)2262018,1706,1516,2020/03/04 10:32:11
2340050019,嘉義縣溪口鄉衛生所,嘉義縣溪口鄉溪北村二鄰中山路１號,(05)2691046,2930,1800,2020/03/04 10:32:11
2340060015,嘉義縣新港鄉衛生所,嘉義縣新港鄉宮前村中山路１６７號,(05)3742025,342,1810,2020/03/04 10:32:11
2340070011,嘉義縣六腳鄉衛生所,嘉義縣六腳鄉蒜頭村１５鄰蒜頭７３－１號,(05)3802016,1222,1980,2020/03/04 10:32:11
2340080017,嘉義縣東石鄉衛生所,嘉義縣東石鄉東石村３之７號,(05)3732340,1582,1774,2020/03/04 10:32:11
2340090013,嘉義縣義竹鄉衛生所,嘉義縣義竹鄉仁里村義竹４２２－１號,(05)3412032,2028,1548,2020/03/04 10:32:11
2340100014,嘉義縣鹿草鄉衛生所,嘉義縣鹿草鄉西井村１２鄰長壽路２２６巷２號,(05)3752080,1362,1980,2020/03/04 10:32:11
2340110010,嘉義縣太保市衛生所,嘉義縣太保市後潭里４４３號,(05)3711273,1648,1894,2020/03/04 10:32:11
2340120016,嘉義縣水上鄉衛生所,嘉義縣水上鄉水上村正義路１４５號,(05)2682059,1273,1728,2020/03/04 10:32:11
2340130012,嘉義縣中埔鄉衛生所,嘉義縣中埔鄉中埔村中埔１３０號之１,(05)2531008,1118,1170,2020/03/04 10:32:11
2340140018,嘉義縣竹崎鄉衛生所,嘉義縣竹崎鄉竹崎村文化路１９－１號,(05)2611264,1684,1730,2020/03/04 10:32:11
2340150014,嘉義縣梅山鄉衛生所,嘉義縣梅山鄉華山路１８號,(05)2621249,948,1406,2020/03/04 10:32:11
2340160010,嘉義縣番路鄉衛生所,嘉義縣番路鄉下坑村菜公店６０號,(05)2591148,1098,1366,2020/03/04 10:32:11
2340170016,嘉義縣大埔鄉衛生所,嘉義縣大埔鄉大埔村５３－１號,(05)2521214,1530,1748,2020/03/04 10:32:11
2340180012,嘉義縣阿里山鄉衛生所,嘉義縣阿里山鄉樂野村３鄰９７－２號,(05)2561573,131,779,2020/03/04 10:32:11
2341010019,臺南市新營區衛生所,臺南市新營區大宏里三民路７２號,(06)6329421,2544,1548,2020/03/04 10:32:11
2341020015,臺南市鹽水區衛生所,臺南市鹽水區武廟路１號,(06)6521041,648,1280,2020/03/04 10:32:11
2341030011,臺南市白河區衛生所,臺南市白河區永安里國光路５號,(06)6852014,2714,1482,2020/03/04 10:32:11
2341040017,臺南市麻豆區衛生所,臺南市麻豆區巷口里興國路１１一１號,(06)5722215,1768,1598,2020/03/04 10:32:11
2341050013,臺南市佳里區衛生所,臺南市佳里區東寧里進學路１５９號,(06)7224106,2603,1654,2020/03/04 10:32:11
2341060019,臺南市新化區衛生所,臺南市新化區健康路十三鄰１４３號,(06)5905398,1666,1860,2020/03/04 10:32:11
2341070015,臺南市善化區衛生所,臺南市善化區光文里中山路２００號,(06)5837035,1336,1470,2020/03/04 10:32:11
