醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
2311060010,基隆市安樂區衛生所,基隆市安樂區安樂路２段１６４號１樓前棟,(02)24318061,150,1424,2020/03/04 10:18:11
2311070016,基隆市信義區衛生所,基隆市信義區信一路６９號,(02)24221633,1502,2220,2020/03/04 10:18:11
2312010014,新竹市東區衛生所,新竹市東區民族路４０之２號,(03)5236158,30,1140,2020/03/04 10:18:11
2312041028,新竹市北區衛生所,新竹市北區國華街六十九號一樓,(03)5353969,0,880,2020/03/04 10:18:11
2312050018,新竹市香山衛生所,新竹市香山區牛埔里育德街１８８號２樓,(03)5388109,0,768,2020/03/04 10:18:11
2317020010,臺中市東區衛生所,臺中市東區信義街１４２號,(04)22834121,496,1570,2020/03/04 10:18:11
2317040012,臺中市南區衛生所,臺中市南區工學路７２號２樓,(04)22629735,470,1352,2020/03/04 10:18:11
2317050018,臺中市北區衛生所,臺中市北區永興街３０１號４樓,(04)22359182,1782,1852,2020/03/04 10:18:11
2317060014,臺中市西屯區衛生所,臺中市西屯區西安里西屯路二段２９９號,(04)27027068,1336,1790,2020/03/04 10:18:11
2317070010,臺中市南屯區衛生所,臺中市南屯區向心南路８１１號１樓,(04)23827640,646,1398,2020/03/04 10:18:11
2317080016,台中市北屯區軍功衛生所,臺中市北屯區軍功路二段１６號,(04)22393932,1566,1812,2020/03/04 10:18:11
2317081022,台中市北屯區四民衛生所,臺中市北屯區后庄路１０６２號,(04)24211945,880,1834,2020/03/04 10:18:11
2321010013,臺南市東區衛生所,臺南市東區龍山里林森路１段４１８號,(06)2673613,1096,1340,2020/03/04 10:18:11
2321020019,臺南市南區衛生所,臺南市南區南都里南和路６號,(06)2618578,1038,1758,2020/03/04 10:18:11
2321030015,臺南市中西區衛生所,臺南市中西區安海里環河街９４號,(06)2252403,1761,1444,2020/03/04 10:18:11
2321040011,臺南巿北區衛生所,臺南市北區公園里西華街５０號,(06)2252404,1912,1565,2020/03/04 10:18:11
2321060013,台南市安南區衛生所,臺南市安南區仁安路７０號２樓,(06)2567406,1187,1660,2020/03/04 10:18:11
2321070019,台南市安平區衛生所,臺南市安平區平通里育平路３１０號,(06)2996885,1239,1656,2020/03/04 10:18:11
2322010017,嘉義市東區衛生所,嘉義市東區大雅路二段６２５號,(05)2750423,1705,1552,2020/03/04 10:18:11
2322020013,嘉義市西區衛生所,嘉義市西區福全里德明路１號,(05)2337355,1672,1736,2020/03/04 10:18:11
2331070012,新北市樹林區衛生所,新北市樹林區樹新路４０－７號１、２樓,(02)26812134,152,1409,2020/03/04 10:18:11
2331080018,新北市鶯歌區衛生所,新北市鶯歌區文化路３８９號,(02)26702304,137,1454,2020/03/04 10:18:11
2331090014,新北市三峽區衛生所,新北市三峽區光明路７１號３樓,(02)26711592,290,1816,2020/03/04 10:18:11
2331100015,新北市淡水區衛生所,新北市淡水區中山路１５８號,(02)26215620,90,1613,2020/03/04 10:18:11
2331120017,新北巿瑞芳區衛生所,新北市瑞芳區明燈路３段１號,(02)24972132,100,1588,2020/03/04 10:18:11
2331150015,新北市五股區衛生所,新北市五股區新城三路１１號１樓、２樓及３樓,(02)22917717,198,102,2020/03/04 10:18:11
